market_segment,is_canceled
Aviation,0.19911504424778761
Complementary,0.12283236994219653
Corporate,0.12130600571973307
Direct,0.14745331069609507
Groups,0.2706766917293233
Offline Ta/To,0.14846625766871166
Online Ta,0.3538906240906357
Undefined,1.0
